Chi Phase BiasChi OChi TTR AverageF MedianF Mot BiasMot OMot AverageF MediaF
anne-CHI 1 0.92 0.15 3.77 3.85 3.0 anne-MOT 0.88 0.26 51.46 14.0
anne-CHI 2 0.92 0.30 3.33 3.44 3.0 anne-MOT 0.84 0.33 43.17 30.0
anne-CHI 3 0.92 0.25 3.21 3.21 2.5 anne-MOT 0.77 0.43 51.29 40.5
anne-CHI 4 0.88 0.26 2.81 2.81 2.0 anne-MOT 0.81 0.33 33.22 20.0
anne-CHI 5 0.89 0.30 2.90 2.90 3.0 anne-MOT 0.74 0.47 41.23 17.5
aran-CHI 1 0.83 0.46 6.48 6.52 3.0 aran-MOT 0.75 0.53 56.84 30.0
aran-CHI 2 0.80 0.50 4.72 4.72 3.0 aran-MOT 0.72 0.53 58.72 48.5
aran-CHI 3 0.85 0.42 3.92 3.92 3.0 aran-MOT 0.73 0.52 69.31 39.5
aran-CHI 4 0.83 0.55 5.03 5.03 4.0 aran-MOT 0.76 0.55 60.87 46.0
aran-CHI 5 0.87 0.35 3.52 3.52 3.0 aran-MOT 0.77 0.45 47.26 28.0
becky-CHI 1 0.92 0.24 3.48 3.57 3.0 becky-MOT 0.78 0.47 24.43 18.0
becky-CHI 2 0.82 0.50 3.20 3.20 3.0 becky-MOT 0.70 0.55 33.30 35.5
becky-CHI 3 0.92 0.25 3.29 3.57 3.0 becky-MOT 0.79 0.42 34.76 17.0
becky-CHI 4 0.92 0.22 2.79 2.91 3.0 becky-MOT 0.76 0.43 24.61 16.0
becky-CHI 5 0.94 0.13 3.33 3.40 3.0 becky-MOT 0.81 0.37 16.80 11.0
carl-CHI 1 0.89 0.32 3.63 3.63 2.0 carl-MOT 0.68 0.56 46.79 34.0
carl-CHI 2 0.78 0.61 5.97 5.97 4.0 carl-MOT 0.72 0.59 42.87 32.0
carl-CHI 3 0.84 0.55 7.70 7.87 4.0 carl-MOT 0.75 0.57 31.72 19.5
carl-CHI 4 0.82 0.52 5.44 5.49 4.0 carl-MOT 0.71 0.60 32.62 21.0
carl-CHI 5 0.90 0.32 5.51 5.59 3.0 carl-MOT 0.77 0.45 34.57 23.0
domin-CHI 1 0.82 0.50 2.58 2.58 2.0 domin-MOT 0.80 0.39 95.08 40.0
domin-CHI 2 0.89 0.38 4.38 4.38 3.5 domin-MOT 0.67 0.59 91.06 53.5
domin-CHI 3 0.90 0.26 3.48 3.48 2.0 domin-MOT 0.72 0.48 69.57 36.0
domin-CHI 4 0.87 0.36 3.40 3.40 3.0 domin-MOT 0.73 0.49 61.64 23.0
domin-CHI 5 0.89 0.29 4.11 4.11 3.0 domin-MOT 0.77 0.46 58.00 22.5
gail-CHI 1 0.95 0.16 2.63 2.68 2.0 gail-MOT 0.82 0.31 27.95 13.0
gail-CHI 2 0.93 0.18 2.53 2.53 2.0 gail-MOT 0.66 0.56 12.76 10.0
gail-CHI 3 0.92 0.22 2.67 2.67 2.0 gail-MOT 0.77 0.34 30.56 11.5
gail-CHI 4 0.93 0.11 2.87 3.00 3.0 gail-MOT 0.78 0.39 27.87 11.0
gail-CHI 5 0.92 0.19 2.57 2.57 2.0 gail-MOT 0.82 0.30 25.57 10.0
joel-CHI 1 0.93 0.17 2.96 2.96 2.0 joel-MOT 0.81 0.41 22.65 16.0
joel-CHI 2 0.92 0.21 3.00 3.00 2.0 joel-MOT 0.82 0.34 22.21 14.0
joel-CHI 3 0.88 0.35 3.12 3.12 2.0 joel-MOT 0.79 0.38 37.35 11.0
joel-CHI 4 0.90 0.29 3.19 3.19 2.0 joel-MOT 0.72 0.46 36.19 17.0
joel-CHI 5 0.97 0.06 2.59 2.59 2.0 joel-MOT 0.82 0.32 40.12 14.0
john-CHI 1 0.87 0.44 4.20 4.28 4.0 john-MOT 0.71 0.57 27.40 18.0
john-CHI 2 0.89 0.27 2.73 2.73 2.0 john-MOT 0.73 0.44 20.00 13.0
john-CHI 3 0.86 0.45 5.15 5.15 3.0 john-MOT 0.75 0.51 30.24 21.0
john-CHI 4 0.81 0.44 2.78 3.04 2.0 john-MOT 0.71 0.53 21.19 13.0
john-CHI 5 0.86 0.43 5.37 5.37 4.0 john-MOT 0.77 0.54 29.54 20.0
liz-CHI 1 0.90 0.20 2.90 3.10 2.5 liz-MOT 0.73 0.48 15.90 17.5
liz-CHI 2 0.93 0.19 4.03 4.03 3.0 liz-MOT 0.80 0.40 26.74 19.0
liz-CHI 3 0.89 0.24 3.47 3.47 3.0 liz-MOT 0.78 0.47 19.50 15.5
liz-CHI 4 0.85 0.37 2.81 2.81 2.0 liz-MOT 0.75 0.45 23.48 15.0
liz-CHI 5 0.88 0.36 3.29 3.32 3.0 liz-MOT 0.79 0.42 26.11 12.0
nic-CHI 1 0.90 0.21 3.00 3.00 2.0 nic-MOT 0.77 0.40 28.89 24.0
nic-CHI 2 0.89 0.27 3.60 3.60 2.0 nic-MOT 0.79 0.38 29.20 22.0
nic-CHI 3 0.90 0.30 3.17 3.26 3.0 nic-MOT 0.79 0.41 28.17 19.0
nic-CHI 4 0.89 0.19 2.77 3.77 3.0 nic-MOT 0.78 0.36 32.31 27.0
nic-CHI 5 0.91 0.29 3.29 3.29 2.0 nic-MOT 0.73 0.47 25.84 21.0
ruth-CHI 1 0.81 0.44 6.60 6.70 2.5 ruth-MOT 0.79 0.35 61.40 32.0
ruth-CHI 2 0.89 0.33 4.23 4.23 3.0 ruth-MOT 0.79 0.44 37.37 29.0
ruth-CHI 3 0.88 0.39 4.97 5.03 3.0 ruth-MOT 0.81 0.44 38.86 17.0
ruth-CHI 4 0.83 0.41 3.75 3.89 3.0 ruth-MOT 0.75 0.48 34.21 15.0
ruth-CHI 5 0.84 0.38 4.76 4.76 2.0 ruth-MOT 0.76 0.49 47.81 22.0
warr-CHI 1 0.85 0.40 6.15 6.20 4.5 warr-MOT 0.80 0.50 42.35 25.5
warr-CHI 2 0.83 0.45 3.72 3.72 3.0 warr-MOT 0.74 0.50 41.24 32.0
warr-CHI 3 0.89 0.37 4.70 4.70 3.0 warr-MOT 0.73 0.55 42.67 29.0
warr-CHI 4 0.92 0.25 3.95 3.95 3.0 warr-MOT 0.74 0.51 48.65 35.5
warr-CHI 5 0.89 0.31 4.08 4.13 3.0 warr-MOT 0.75 0.50 39.42 24.5
